,date_time,mid,instrument
371,2019-01-30 08:19:59,100.879,C
372,2019-01-30 08:24:59,101.379,A
373,2019-01-30 08:29:59,105.609,B
374,2019-01-30 08:34:59,100.473,E
375,2019-01-30 08:39:59,100.63,C
376,2019-01-30 08:44:59,112.542,I
377,2019-01-30 08:49:59,100.532,C
378,2019-01-30 08:54:59,112.521,I
379,2019-01-30 08:59:59,112.517,I
380,2019-01-30 09:04:59,104.664,J
381,2019-01-30 09:09:59,100.474,E
382,2019-01-30 09:14:59,107.056,F
383,2019-01-30 09:19:59,125.187,K
384,2019-01-30 09:24:59,107.102,F
385,2019-01-30 09:29:59,100.699,C
386,2019-01-30 09:34:59,107.202,F
387,2019-01-30 09:39:59,107.209,F
388,2019-01-30 09:44:59,100.715,C
389,2019-01-30 09:49:59,100.507,E
390,2019-01-30 09:54:59,100.755,C
391,2019-01-30 09:59:59,102.829,G
392,2019-01-30 10:04:59,100.513,E
393,2019-01-30 10:09:59,100.751,C
394,2019-01-30 10:14:59,104.897,J
395,2019-01-30 10:19:59,107.711,H
396,2019-01-30 10:24:59,107.716,H
397,2019-01-30 10:29:59,125.262,K
398,2019-01-30 10:34:59,107.724,H
399,2019-01-30 10:39:58,125.288,K
400,2019-01-30 10:44:59,100.526,E
401,2019-01-30 10:49:59,125.3,K
402,2019-01-30 10:54:59,104.958,J
403,2019-01-30 10:59:59,105.669,B
404,2019-01-30 11:04:59,102.872,G
405,2019-01-30 11:09:59,100.819,C
406,2019-01-30 11:14:59,107.727,H
407,2019-01-30 11:19:59,112.688,I
408,2019-01-30 11:24:59,101.365,A
409,2019-01-30 11:29:59,125.277,K
410,2019-01-30 11:34:59,100.522,E
411,2019-01-30 11:39:59,100.523,E
412,2019-01-30 11:44:59,105.58,B
413,2019-01-30 11:49:59,104.94,J
414,2019-01-30 11:54:59,105.583,B
415,2019-01-30 11:59:59,107.708,H
416,2019-01-30 12:04:59,107.702,H
417,2019-01-30 12:09:59,102.848,G
418,2019-01-30 12:14:59,100.523,E
419,2019-01-30 12:19:59,125.277,K
420,2019-01-30 12:24:59,104.914,J
421,2019-01-30 12:29:59,125.256,K
422,2019-01-30 12:34:59,107.27,F
423,2019-01-30 12:39:59,105.539,B
424,2019-01-30 12:44:59,107.683,H
425,2019-01-30 12:49:58,105.51,B
426,2019-01-30 12:54:59,107.684,H
427,2019-01-30 12:59:59,107.689,H
428,2019-01-30 13:04:59,125.249,K
429,2019-01-30 13:09:59,105.489,B
430,2019-01-30 13:14:59,125.236,K
431,2019-01-30 13:19:59,102.782,G
432,2019-01-30 13:24:59,107.631,H
433,2019-01-30 13:29:59,101.225,A
434,2019-01-30 13:34:59,107.613,H
435,2019-01-30 13:39:59,101.213,A
436,2019-01-30 13:44:59,100.471,E
437,2019-01-30 13:49:59,105.307,B
438,2019-01-30 13:54:59,105.346,B
439,2019-01-30 13:59:59,100.488,E
440,2019-01-30 14:04:59,107.638,H
441,2019-01-30 14:09:59,105.346,B
442,2019-01-30 14:14:59,100.703,C
443,2019-01-30 14:19:59,105.393,B
444,2019-01-30 14:24:59,107.166,F
445,2019-01-30 14:29:59,100.495,E
446,2019-01-30 14:34:59,107.652,H
447,2019-01-30 14:39:59,125.215,K
448,2019-01-30 14:44:59,107.607,H
449,2019-01-30 14:49:59,101.223,A
450,2019-01-30 14:54:59,125.164,K
451,2019-01-30 14:59:59,100.662,C
452,2019-01-30 15:04:59,107.617,H
453,2019-01-30 15:09:59,105.407,B
454,2019-01-30 15:14:59,100.691,C
455,2019-01-30 15:19:59,107.147,F
456,2019-01-30 15:24:59,107.153,F
457,2019-01-30 15:29:59,104.829,J
458,2019-01-30 15:34:59,105.46,B
459,2019-01-30 15:39:59,125.207,K
460,2019-01-30 15:44:59,107.653,H
461,2019-01-30 15:49:59,100.744,C
462,2019-01-30 15:54:59,101.32,A
463,2019-01-30 15:59:59,107.205,F
464,2019-01-30 16:04:59,102.785,G
465,2019-01-30 16:09:59,102.785,G
466,2019-01-30 16:14:59,105.524,B
467,2019-01-30 16:19:59,107.212,F
468,2019-01-30 16:24:59,100.756,C
469,2019-01-30 16:29:59,105.553,B
470,2019-01-30 16:34:59,105.546,B
471,2019-01-30 16:39:59,125.241,K
472,2019-01-30 16:44:59,100.743,C
473,2019-01-30 16:49:59,107.215,F
474,2019-01-30 16:54:59,105.53,B
475,2019-01-30 16:59:59,105.566,B
476,2019-01-31 07:09:59,125.28,K
477,2019-01-31 07:14:59,125.297,K
478,2019-01-31 07:19:59,125.309,K
479,2019-01-31 07:24:59,107.803,H
480,2019-01-31 07:29:59,112.739,I
481,2019-01-31 07:34:59,107.835,H
482,2019-01-31 07:39:59,125.368,K
483,2019-01-31 07:44:59,125.362,K
484,2019-01-31 07:49:59,125.372,K
485,2019-01-31 07:54:59,112.746,I
486,2019-01-31 07:59:59,125.376,K
487,2019-01-31 08:04:59,125.357,K
488,2019-01-31 08:09:59,100.589,E
489,2019-01-31 08:14:59,101.561,A
490,2019-01-31 08:19:59,100.589,E
491,2019-01-31 08:24:59,100.579,E
492,2019-01-31 08:29:59,101.581,A
493,2019-01-31 08:34:58,125.382,K
494,2019-01-31 08:39:59,100.581,E
495,2019-01-31 08:44:59,100.578,E
496,2019-01-31 08:49:59,100.575,E
497,2019-01-31 08:54:59,100.577,E
498,2019-01-31 08:59:59,125.393,K
499,2019-01-31 09:04:59,107.638,F
500,2019-01-31 09:09:59,125.389,K
501,2019-01-31 09:14:59,100.584,E
502,2019-01-31 09:19:59,125.394,K
503,2019-01-31 09:24:59,100.576,E
504,2019-01-31 09:29:59,125.399,K
505,2019-01-31 09:34:59,125.403,K
506,2019-01-31 09:39:59,112.761,I
507,2019-01-31 09:44:59,125.405,K
508,2019-01-31 09:49:59,103.037,G
509,2019-01-31 09:54:59,125.421,K
510,2019-01-31 09:59:59,100.625,E
511,2019-01-31 10:04:59,101.644,A
512,2019-01-31 10:09:59,125.429,K
513,2019-01-31 10:14:59,125.426,K
514,2019-01-31 10:19:59,107.899,H
515,2019-01-31 10:24:59,101.637,A
516,2019-01-31 10:29:59,107.893,H
517,2019-01-31 10:34:59,107.892,H
518,2019-01-31 10:39:59,107.615,F
519,2019-01-31 10:44:59,100.632,E
520,2019-01-31 10:49:59,125.398,K
521,2019-01-31 10:54:59,101.041,C
522,2019-01-31 10:59:59,107.88,H
523,2019-01-31 11:04:59,125.413,K
524,2019-01-31 11:09:59,100.637,E
525,2019-01-31 11:14:59,125.418,K
526,2019-01-31 11:19:59,107.911,H
527,2019-01-31 11:24:59,101.619,A
528,2019-01-31 11:29:59,107.93,H
529,2019-01-31 11:34:59,125.498,K
530,2019-01-31 11:39:59,125.514,K
531,2019-01-31 11:44:59,112.894,I
532,2019-01-31 11:49:59,125.532,K
533,2019-01-31 11:54:59,108.013,H
534,2019-01-31 11:59:59,108.0,H
535,2019-01-31 12:04:59,107.818,F
536,2019-01-31 12:09:59,107.827,F
537,2019-01-31 12:14:59,100.691,E
538,2019-01-31 12:19:59,107.753,F
539,2019-01-31 12:24:59,106.411,B
540,2019-01-31 12:29:59,100.669,E
541,2019-01-31 12:34:59,100.647,E
542,2019-01-31 12:39:59,100.644,E
543,2019-01-31 12:44:59,125.395,K
544,2019-01-31 12:49:59,107.65,F
545,2019-01-31 12:54:59,107.88,H
546,2019-01-31 12:59:59,107.634,F
547,2019-01-31 13:04:59,107.614,F
548,2019-01-31 13:09:59,106.367,B
